obligation_id,obligation,article,roles,risk_categories,deadline,evidence_artifact,evidence_description,annex_iv_section,audit_red_flags,source_urls
obl-art15-declare-accuracy-metrics,Declare accuracy metrics in instructions for use,Article 15; Article 11,Provider,High-risk (Annex III use case); High-risk (Annex I regulated product),2027-12-02,Accuracy Declaration Record,"Dated record stating the chosen accuracy metric(s), target levels, the test set/conditions, and where they are declared in the instructions for use. Substantiated in the technical file.",anx-4-2,Accuracy levels/metrics not declared in the instructions for use.; Documentation created after the fact rather than contemporaneously with the decision — national competent authorities apply the contemporaneous standard.,https://artificialintelligenceact.eu/article/15/
obl-art15-declare-accuracy-metrics,Declare accuracy metrics in instructions for use,Article 15; Article 11,Provider,High-risk (Annex III use case); High-risk (Annex I regulated product),2027-12-02,Instructions for use,Accompanying instructions where declared accuracy levels/metrics and other required information appear.,,Accuracy levels/metrics not declared in the instructions for use.; Documentation created after the fact rather than contemporaneously with the decision — national competent authorities apply the contemporaneous standard.,https://artificialintelligenceact.eu/article/15/
obl-art15-declare-accuracy-metrics,Declare accuracy metrics in instructions for use,Article 15; Article 11,Provider,High-risk (Annex III use case); High-risk (Annex I regulated product),2027-12-02,Annex IV technical file,"The full technical documentation package; primary evidence at conformity assessment; must be a living, versioned document.",anx-4,Accuracy levels/metrics not declared in the instructions for use.; Documentation created after the fact rather than contemporaneously with the decision — national competent authorities apply the contemporaneous standard.,https://artificialintelligenceact.eu/article/15/
obl-art15-robustness,Evidence robustness / resilience,Article 15,Provider,High-risk (Annex III use case); High-risk (Annex I regulated product),2027-12-02,Robustness test plan & results,"A defensible plan and dated results showing resilience to errors, edge cases and adversarial manipulation.",anx-4-3,Documentation created after the fact rather than contemporaneously with the decision — national competent authorities apply the contemporaneous standard.; No clear version control / traceability between document versions and system versions.,https://artificialintelligenceact.eu/article/15/
obl-art15-robustness,Evidence robustness / resilience,Article 15,Provider,High-risk (Annex III use case); High-risk (Annex I regulated product),2027-12-02,Annex IV technical file,"The full technical documentation package; primary evidence at conformity assessment; must be a living, versioned document.",anx-4,Documentation created after the fact rather than contemporaneously with the decision — national competent authorities apply the contemporaneous standard.; No clear version control / traceability between document versions and system versions.,https://artificialintelligenceact.eu/article/15/
obl-art15-cybersecurity,Evidence AI-specific cybersecurity,Article 15,Provider,High-risk (Annex III use case); High-risk (Annex I regulated product),2027-12-02,AI cybersecurity threat model & evidence,"Dated AI-specific threat model (data poisoning, model poisoning, adversarial examples, confidentiality attacks) with mitigations and validation.",anx-4-3,Documentation created after the fact rather than contemporaneously with the decision — national competent authorities apply the contemporaneous standard.,https://artificialintelligenceact.eu/article/15/
obl-art15-cybersecurity,Evidence AI-specific cybersecurity,Article 15,Provider,High-risk (Annex III use case); High-risk (Annex I regulated product),2027-12-02,Annex IV technical file,"The full technical documentation package; primary evidence at conformity assessment; must be a living, versioned document.",anx-4,Documentation created after the fact rather than contemporaneously with the decision — national competent authorities apply the contemporaneous standard.,https://artificialintelligenceact.eu/article/15/
obl-art9-risk-management,Run a lifecycle risk-management system,Article 9,Provider,High-risk (Annex III use case); High-risk (Annex I regulated product),2027-12-02,Risk-management file,"Living record of the Article 9 risk-management system: identified risks, evaluation, mitigation measures adopted, and test results across the lifecycle.",anx-4-4,Documentation created after the fact rather than contemporaneously with the decision — national competent authorities apply the contemporaneous standard.; No clear version control / traceability between document versions and system versions.,https://artificialintelligenceact.eu/article/9/
obl-art9-risk-management,Run a lifecycle risk-management system,Article 9,Provider,High-risk (Annex III use case); High-risk (Annex I regulated product),2027-12-02,Annex IV technical file,"The full technical documentation package; primary evidence at conformity assessment; must be a living, versioned document.",anx-4,Documentation created after the fact rather than contemporaneously with the decision — national competent authorities apply the contemporaneous standard.; No clear version control / traceability between document versions and system versions.,https://artificialintelligenceact.eu/article/9/
obl-art10-data-governance,"Govern training, validation and test data",Article 10,Provider,High-risk (Annex III use case); High-risk (Annex I regulated product),2027-12-02,Data-governance records,"Dataset cards, provenance documentation, representativeness rationale and bias-examination reports substantiating Article 10 for training/validation/test data.",anx-4-2,Documentation created after the fact rather than contemporaneously with the decision — national competent authorities apply the contemporaneous standard.,https://artificialintelligenceact.eu/article/10/
obl-art10-data-governance,"Govern training, validation and test data",Article 10,Provider,High-risk (Annex III use case); High-risk (Annex I regulated product),2027-12-02,Annex IV technical file,"The full technical documentation package; primary evidence at conformity assessment; must be a living, versioned document.",anx-4,Documentation created after the fact rather than contemporaneously with the decision — national competent authorities apply the contemporaneous standard.,https://artificialintelligenceact.eu/article/10/
obl-art26-deployer-human-oversight,Assign human oversight and use per instructions (deployer),Article 26,Deployer,High-risk (Annex III use case),2027-12-02,Deployer human-oversight record,"Evidence the deployer assigned competent, trained human oversight, used the system per instructions, and checked input-data relevance.",,Deployer does not retain the automatically-generated logs of the high-risk system within its control.,https://artificialintelligenceact.eu/article/26/
obl-art26-deployer-human-oversight,Assign human oversight and use per instructions (deployer),Article 26,Deployer,High-risk (Annex III use case),2027-12-02,Automatically-generated logs,Retained operational logs the deployer must keep for high-risk systems within its control.,,Deployer does not retain the automatically-generated logs of the high-risk system within its control.,https://artificialintelligenceact.eu/article/26/
